index,train_mask,holdout_mask,time_utc,station_id
0,True,False,2021-01-01 00:00:00+00:00,DL009
1,True,False,2021-01-01 01:00:00+00:00,DL009
2,True,False,2021-01-01 02:00:00+00:00,DL009
3,True,False,2021-01-01 03:00:00+00:00,DL009
4,True,False,2021-01-01 04:00:00+00:00,DL009
5,True,False,2021-01-01 05:00:00+00:00,DL009
6,True,False,2021-01-01 06:00:00+00:00,DL009
7,True,False,2021-01-01 07:00:00+00:00,DL009
8,True,False,2021-01-01 08:00:00+00:00,DL009
9,True,False,2021-01-01 09:00:00+00:00,DL009
10,True,False,2021-01-01 10:00:00+00:00,DL009
11,True,False,2021-01-01 11:00:00+00:00,DL009
12,True,False,2021-01-01 12:00:00+00:00,DL009
13,True,False,2021-01-01 13:00:00+00:00,DL009
14,True,False,2021-01-01 14:00:00+00:00,DL009
15,True,False,2021-01-01 15:00:00+00:00,DL009
16,True,False,2021-01-01 16:00:00+00:00,DL009
17,True,False,2021-01-01 17:00:00+00:00,DL009
18,True,False,2021-01-01 18:00:00+00:00,DL009
19,True,False,2021-01-01 19:00:00+00:00,DL009
20,True,False,2021-01-01 20:00:00+00:00,DL009
21,True,False,2021-01-01 21:00:00+00:00,DL009
22,True,False,2021-01-01 22:00:00+00:00,DL009
23,True,False,2021-01-01 23:00:00+00:00,DL009
24,True,False,2021-01-02 00:00:00+00:00,DL009
25,True,False,2021-01-02 01:00:00+00:00,DL009
26,True,False,2021-01-02 02:00:00+00:00,DL009
27,True,False,2021-01-02 03:00:00+00:00,DL009
28,True,False,2021-01-02 04:00:00+00:00,DL009
29,True,False,2021-01-02 05:00:00+00:00,DL009
30,True,False,2021-01-02 06:00:00+00:00,DL009
31,True,False,2021-01-02 07:00:00+00:00,DL009
32,True,False,2021-01-02 08:00:00+00:00,DL009
33,True,False,2021-01-02 09:00:00+00:00,DL009
34,True,False,2021-01-02 10:00:00+00:00,DL009
35,True,False,2021-01-02 11:00:00+00:00,DL009
36,True,False,2021-01-02 12:00:00+00:00,DL009
37,True,False,2021-01-02 13:00:00+00:00,DL009
38,True,False,2021-01-02 14:00:00+00:00,DL009
39,True,False,2021-01-02 15:00:00+00:00,DL009
40,True,False,2021-01-02 16:00:00+00:00,DL009
41,True,False,2021-01-02 17:00:00+00:00,DL009
42,True,False,2021-01-02 18:00:00+00:00,DL009
43,True,False,2021-01-02 19:00:00+00:00,DL009
44,True,False,2021-01-02 20:00:00+00:00,DL009
45,True,False,2021-01-02 21:00:00+00:00,DL009
46,True,False,2021-01-02 22:00:00+00:00,DL009
47,True,False,2021-01-02 23:00:00+00:00,DL009
48,True,False,2021-01-03 00:00:00+00:00,DL009
